Item ID_tourist,Item_category_combined,Province,City,City_Sentiment_Score,Avg_City_Sentiment_Score,Popularity
A-79,4,Makkah Al Mukarramah Province,Taif,0.8518852787805856,0.8198554034686426,0.8358703411246141
A-8,4,Riyadh Province,Riyadh,0.8791115122342559,0.8643824572877538,0.8717469847610049
A-80,1,Al Madinah Al Munawwarah Province,Al Ula,0.825909212461559,0.7773729310985179,0.8016410717800384
A-81,1,Al Madinah Al Munawwarah Province,Madinah,0.6350080224628961,0.4651642090134249,0.5500861157381605
A-82,4,Makkah Al Mukarramah Province,Jeddah,0.8363618130766146,0.7944676026170832,0.8154147078468489
A-83,5,Makkah Al Mukarramah Province,Riyadh,0.8212595266746892,0.7697686180676977,0.7955140723711934
A-84,7,Makkah Al Mukarramah Province,Jeddah,0.8195346971520258,0.7669477513064134,0.7932412242292195
A-85,4,Aseer Province,Abha,0.8123245086241477,0.7551558722287187,0.7837401904264332
A-86,1,Aseer Province,Aseer,0.8244317422115256,0.7749566077915393,0.7996941750015325
A-87,5,Makkah Al Mukarramah Province,Makkah,0.6107902125952668,0.42555727163841445,0.5181737421168406
A-88,1,Makkah Al Mukarramah Province,Jeddah,0.8842626019521327,0.8728067897259241,0.8785346958390283
A-89,4,Riyadh Province,Riyadh,0.7741576413959085,0.6927359949412282,0.7334468181685683
A-9,6,Al Madinah Al Munawwarah Province,Madinah,0.7796296296296297,0.7016851398001026,0.7406573847148661
A-90,2,Makkah Al Mukarramah Province,Jeddah,0.6977871373178233,0.5678361058830479,0.6328116216004356
A-91,5,Riyadh Province,Riyadh,0.926932076480813,0.9425904412914187,0.9347612588861158
A-92,2,Makkah Al Mukarramah Province,Jeddah,0.7718712394705175,0.6889967064437117,0.7304339729571145
A-93,2,Riyadh Province,Riyadh,0.8655268083968445,0.8421653984179546,0.8538461034073995
A-94,1,Riyadh Province,Riyadh,0.8167970316887285,0.7624704453422818,0.7896337385155052
A-95,1,Makkah Al Mukarramah Province,Makkah,0.7804380041895085,0.7030071939490788,0.7417225990692937
A-96,4,Riyadh Province,Riyadh,0.853767214868298,0.8229332093708902,0.838350212119594
A-98,5,Aseer Province,Abha,0.9079255248027812,0.9115062395034801,0.9097158821531306
A-99,5,The Eastern Province,Al Ahsa,0.8684850915897847,0.8470035129213201,0.8577443022555524
H-1,3,Makkah Al Mukarramah Province,Makkah,0.7297700227303116,0.7939109873837038,0.7618405050570076
H-10,3,Makkah Al Mukarramah Province,Makkah,0.8733019120203236,0.7939109873837038,0.8336064497020137
H-11,3,Al Madinah Al Munawwarah Province,Madinah,0.9219481214066051,0.8274222030716349,0.8746851622391201
H-12,3,Makkah Al Mukarramah Province,Makkah,0.9352854659713865,0.7939109873837038,0.8645982266775452
H-13,3,Makkah Al Mukarramah Province,Makkah,0.8353857467575879,0.7939109873837038,0.8146483670706459
H-14,3,Makkah Al Mukarramah Province,Makkah,0.9444009894370906,0.7939109873837038,0.8691559884103972
H-15,3,Al Madinah Al Munawwarah Province,Madinah,0.8739219815483353,0.8274222030716349,0.8506720923099851
H-16,3,Makkah Al Mukarramah Province,Makkah,0.9208751169942506,0.7939109873837038,0.8573930521889772
H-17,3,Al Madinah Al Munawwarah Province,Madinah,0.846653964433748,0.8274222030716349,0.8370380837526914
H-18,3,Al Madinah Al Munawwarah Province,Madinah,0.8820831661986898,0.8274222030716349,0.8547526846351623
H-19,3,Makkah Al Mukarramah Province,Makkah,0.8459843812675492,0.7939109873837038,0.8199476843256265
H-2,3,Makkah Al Mukarramah Province,Makkah,0.971610509426394,0.7939109873837038,0.8827607484050489
H-20,3,Makkah Al Mukarramah Province,Makkah,0.7424883423586042,0.7939109873837038,0.768199664871154
H-21,3,Makkah Al Mukarramah Province,Makkah,0.8092191469447787,0.7939109873837038,0.8015650671642413
H-22,3,Al Madinah Al Munawwarah Province,Madinah,0.7340286134509962,0.8274222030716349,0.7807254082613155
H-23,3,Makkah Al Mukarramah Province,Makkah,0.8352219548067924,0.7939109873837038,0.814566471095248
H-24,3,Makkah Al Mukarramah Province,Makkah,0.9949358202968311,0.7939109873837038,0.8944234038402674
H-25,3,Al Madinah Al Munawwarah Province,Madinah,0.8839183045861747,0.8274222030716349,0.8556702538289048
H-3,3,Makkah Al Mukarramah Province,Makkah,0.6300892498997193,0.7939109873837038,0.7120001186417115
H-4,3,Makkah Al Mukarramah Province,Makkah,0.5869835539510629,0.7939109873837038,0.6904472706673834
H-5,3,Makkah Al Mukarramah Province,Makkah,0.961585773499131,0.7939109873837038,0.8777483804414175
H-6,3,Makkah Al Mukarramah Province,Makkah,0.8436664326781655,0.7939109873837037,0.8187887100309346
H-7,3,Makkah Al Mukarramah Province,Makkah,0.8743481748896912,0.7939109873837038,0.8341295811366976
H-8,3,Makkah Al Mukarramah Province,Makkah,0.9331561706110443,0.7939109873837038,0.863533578997374
H-9,3,Makkah Al Mukarramah Province,Makkah,0.8007850552976908,0.7939109873837038,0.7973480213406974
